timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662653369794,472,"Actives, Gainers, Losers/api/v1/dashboard-192",200,OK,MAIN PAGES 1-1,text,true,,761,1333,1,1,https://research-preview.morningstar.com/api/v1/dashboard,472,0,272
1662653370269,112,"Actives, Gainers, Losers/api/v2/securities/movers-193",200,OK,MAIN PAGES 1-1,text,true,,2072,1187,1,1,"https://research-preview.morningstar.com/api/v2/securities/movers?dataPoints=name,performanceID,volume,lastPrice,netChange,percentNetChange",111,0,0
1662653370382,681,"Actives, Gainers, Losers/api/v2/securities/by-id-194",200,OK,MAIN PAGES 1-1,text,true,,1354,1238,1,1,"https://research-preview.morningstar.com/api/v2/securities/by-id?ids=0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE&fields=name",680,0,0
1662653371064,416,"Actives, Gainers, Losers/api/v2/securities/0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE/realtime-195",200,OK,MAIN PAGES 1-1,text,true,,1327,1347,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE/realtime?dataPoints=lastPrice,netChange,percentNetChange,volume,tradingStatus,listedCurrency,openPrice,previousClosePrice,bidPrice",416,0,0
1662653371481,403,Commodity Futures/api/v1/dashboard-197,200,OK,MAIN PAGES 1-1,text,true,,941,1513,1,1,https://research-preview.morningstar.com/api/v1/dashboard,403,0,0
1662653371885,121,"Commodity Futures/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-198",200,OK,MAIN PAGES 1-1,text,true,,1334,1412,1,1,"https://research-preview.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",120,0,0
1662653372006,114,Commodity Futures/api/v2/securities/movers-199,200,OK,MAIN PAGES 1-1,text,true,,2072,1187,1,1,"https://research-preview.morningstar.com/api/v2/securities/movers?dataPoints=name,performanceID,volume,lastPrice,netChange,percentNetChange",114,0,0
1662653372121,129,Commodity Futures/api/v2/securities/by-id-200,200,OK,MAIN PAGES 1-1,text,true,,1361,1238,1,1,"https://research-preview.morningstar.com/api/v2/securities/by-id?ids=0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE&fields=name",129,0,0
1662653372251,313,Cryptocurrencies/api/v1/dashboard-205,200,OK,MAIN PAGES 1-1,text,true,,1125,1697,1,1,https://research-preview.morningstar.com/api/v1/dashboard,313,0,0
1662653372564,113,Cryptocurrencies/api/v2/securities/movers-207,200,OK,MAIN PAGES 1-1,text,true,,2072,1187,1,1,"https://research-preview.morningstar.com/api/v2/securities/movers?dataPoints=name,performanceID,volume,lastPrice,netChange,percentNetChange",113,0,0
1662653372678,213,"Cryptocurrencies/api/v2/securities/0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE,240.20.XBTUSDCOMP,240.20.XEHUSDCOMP,240.20.XRPUSDCOMP,240.20.XBHUSDCOMP,240.20.XLMUSDCOMP,240.20.XEOUSDCOMP,240.20.XLTUSDCOMP/realtime-206",200,OK,MAIN PAGES 1-1,text,true,,1621,1473,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE,240.20.XBTUSDCOMP,240.20.XEHUSDCOMP,240.20.XRPUSDCOMP,240.20.XBHUSDCOMP,240.20.XLMUSDCOMP,240.20.XEOUSDCOMP,240.20.XLTUSDCOMP/realtime?dataPoints=lastPrice,netChange,percentNetChange,volume,tradingStatus,listedCurrency,openPrice,previousClosePrice,bidPrice",212,0,0
1662653372892,125,"Cryptocurrencies/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-208",200,OK,MAIN PAGES 1-1,text,true,,1334,1412,1,1,"https://research-preview.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",125,0,0
1662653373018,136,Cryptocurrencies/api/v2/securities/by-id-209,200,OK,MAIN PAGES 1-1,text,true,,1361,1238,1,1,"https://research-preview.morningstar.com/api/v2/securities/by-id?ids=0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE&fields=name",136,0,0
1662653373155,186,Currencies/api/v1/dashboard-211,200,OK,MAIN PAGES 1-1,text,true,,1342,1914,1,1,https://research-preview.morningstar.com/api/v1/dashboard,186,0,0
1662653373341,401,"Currencies/api/v2/securities/0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE,240.20.XBTUSDCOMP,240.20.XEHUSDCOMP,240.20.XRPUSDCOMP,240.20.XBHUSDCOMP,240.20.XLMUSDCOMP,240.20.XEOUSDCOMP,240.20.XLTUSDCOMP,240.20.GBPUSDCOMP,240.20.EURUSDCOMP,240.20.USDJPYCOMP,240.20.USDCADCOMP,240.20.USDCHFCOMP,240.20.AUDUSDCOMP,240.20.USDHKDCOMP,240.20.CNYUSDCOMP,240.20.NZDUSDCOMP,240.20.USDBRLCOMP,240.20.USDCLPCOMP,240.20.USDCOPCOMP,240.20.USDCUPCOMP,240.20.USDCZKCOMP,240.20.USDINRCOMP,240.20.USDIDRCOMP,240.20.USDIRRCOMP,240.20.USDIQDCOMP,240.20.USDLBPCOMP,240.20.USDMXNCOMP,240.20.USDSGDCOMP,240.20.USDPHPCOMP/realtime-212",200,OK,MAIN PAGES 1-1,text,true,,2530,1869,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE,240.20.XBTUSDCOMP,240.20.XEHUSDCOMP,240.20.XRPUSDCOMP,240.20.XBHUSDCOMP,240.20.XLMUSDCOMP,240.20.XEOUSDCOMP,240.20.XLTUSDCOMP,240.20.GBPUSDCOMP,240.20.EURUSDCOMP,240.20.USDJPYCOMP,240.20.USDCADCOMP,240.20.USDCHFCOMP,240.20.AUDUSDCOMP,240.20.USDHKDCOMP,240.20.CNYUSDCOMP,240.20.NZDUSDCOMP,240.20.USDBRLCOMP,240.20.USDCLPCOMP,240.20.USDCOPCOMP,240.20.USDCUPCOMP,240.20.USDCZKCOMP,240.20.USDINRCOMP,240.20.USDIDRCOMP,240.20.USDIRRCOMP,240.20.USDIQDCOMP,240.20.USDLBPCOMP,240.20.USDMXNCOMP,240.20.USDSGDCOMP,240.20.USDPHPCOMP/realtime?dataPoints=lastPrice,netChange,percentNetChange,volume,tradingStatus,listedCurrency,openPrice,previousClosePrice,bidPrice",401,0,0
1662653373743,110,Currencies/api/v2/securities/movers-214,200,OK,MAIN PAGES 1-1,text,true,,2072,1187,1,1,"https://research-preview.morningstar.com/api/v2/securities/movers?dataPoints=name,performanceID,volume,lastPrice,netChange,percentNetChange",110,0,0
1662653373853,115,"Currencies/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-215",200,OK,MAIN PAGES 1-1,text,true,,1334,1412,1,1,"https://research-preview.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",115,0,0
1662653373969,150,Currencies/api/v2/securities/by-id-216,200,OK,MAIN PAGES 1-1,text,true,,1361,1238,1,1,"https://research-preview.morningstar.com/api/v2/securities/by-id?ids=0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE&fields=name",150,0,0
1662653374119,140,"Economic Reports/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-218",200,OK,MAIN PAGES 1-1,text,true,,1334,1412,1,1,"https://research-preview.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",140,0,0
1662653374260,116,Economic Reports/api/v2/securities/movers-217,200,OK,MAIN PAGES 1-1,text,true,,2072,1187,1,1,"https://research-preview.morningstar.com/api/v2/securities/movers?dataPoints=name,performanceID,volume,lastPrice,netChange,percentNetChange",116,0,0
1662653374377,120,Economic Reports/api/v2/securities/by-id-219,200,OK,MAIN PAGES 1-1,text,true,,1361,1238,1,1,"https://research-preview.morningstar.com/api/v2/securities/by-id?ids=0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE&fields=name",119,0,0
1662653374497,216,Economic Reports/api/v1/dashboard-223,200,OK,MAIN PAGES 1-1,text,true,,1464,2036,1,1,https://research-preview.morningstar.com/api/v1/dashboard,216,0,0
1662653374713,441,Economic Reports/api/v1/calendar-224,200,OK,MAIN PAGES 1-1,text,true,,4536,1157,1,1,https://research-preview.morningstar.com/api/v1/calendar?types=economic-release&from=2022-08-23&to=2022-09-06,440,0,0
1662653375154,120,"Global Market Barometer/api/v2/securities/0P00012PHZ,0P00012PI6,0P00012PIC/realtime-230",200,OK,MAIN PAGES 1-1,text,true,,873,1270,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00012PHZ,0P00012PI6,0P00012PIC/realtime?dataPoints=lastPrice,netChange,percentNetChange,volume,tradingStatus,listedCurrency,openPrice,previousClosePrice,bidPrice",120,0,0
1662653375274,207,"Global Market Barometer/api/v2/securities/0P00012P92,0P00012P99,0P00012P9F,0P00012P9L,0P00012P9R,0P00012P9X,0P00012PA3,0P00012PA9,0P00012PAF,0P00012PAL,0P00012PBT,0P00012PCU,0P00012PD0,0P00012PD5,0P00012PDC,0P00012PDI,0P00012PDN,0P00012PDT,0P00012PDZ,0P00012PE6,0P00012PEC,0P00012PEI,0P00012PEO,0P00012PEU,0P00012PF0,0P00012PF5,0P00012PFH,0P00012PFN,0P00012PFZ,0P00012PG5,0P00012PGB,0P00012PGH,0P00012PGN,0P00012PGT,0P00012PGZ,0P00012PH5,0P00012PHB,0P00012PHH,0P00012PHN,0P00012PHT/realtime-229",200,OK,MAIN PAGES 1-1,text,true,,2268,1677,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00012P92,0P00012P99,0P00012P9F,0P00012P9L,0P00012P9R,0P00012P9X,0P00012PA3,0P00012PA9,0P00012PAF,0P00012PAL,0P00012PBT,0P00012PCU,0P00012PD0,0P00012PD5,0P00012PDC,0P00012PDI,0P00012PDN,0P00012PDT,0P00012PDZ,0P00012PE6,0P00012PEC,0P00012PEI,0P00012PEO,0P00012PEU,0P00012PF0,0P00012PF5,0P00012PFH,0P00012PFN,0P00012PFZ,0P00012PG5,0P00012PGB,0P00012PGH,0P00012PGN,0P00012PGT,0P00012PGZ,0P00012PH5,0P00012PHB,0P00012PHH,0P00012PHN,0P00012PHT/realtime?dataPoints=lastPrice,netChange,percentNetChange,volume,tradingStatus,listedCurrency,openPrice,previousClosePrice,bidPrice",207,0,0
1662653375482,234,Global Market Barometer/api/v1/dashboard-226,200,OK,MAIN PAGES 1-1,text,true,,1594,2166,1,1,https://research-preview.morningstar.com/api/v1/dashboard,234,0,0
1662653375716,233,Global Market Barometer/api/v2/securities/by-id-227,200,OK,MAIN PAGES 1-1,text,true,,3979,1905,1,1,"https://research-preview.morningstar.com/api/v2/securities/by-id?ids=0P00001GJH,0P00012P92,0P00012P99,0P00012P9F,0P00012P9L,0P00012P9R,0P00012P9X,0P00012PA3,0P00012PA9,0P00012PAF,0P00012PAL,0P00012PBT,0P00012PCU,0P00012PD0,0P00012PD5,0P00012PDC,0P00012PDI,0P00012PDN,0P00012PDT,0P00012PDZ,0P00012PE6,0P00012PEC,0P00012PEI,0P00012PEO,0P00012PEU,0P00012PF0,0P00012PF5,0P00012PFH,0P00012PFN,0P00012PFZ,0P00012PG5,0P00012PGB,0P00012PGH,0P00012PGN,0P00012PGT,0P00012PGZ,0P00012PH5,0P00012PHB,0P00012PHH,0P00012PHN,0P00012PHT,0P00012PHZ,0P00012PI6,0P00012PIC&fields=return[period%3D%27oneMonth%27]+as+return1M,return[period%3D%27threeMonth%27]+as+return3M,return[period%3D%27yearToDate%27]+as+returnYTD,return[period%3D%27oneYear%27]+as+return1Y,return[period%3D%27fiveYear%27]+as+return5Y,return[period%3D%27tenYear%27]+as+return10Y,priceToFairValueForPortfolios",233,0,0
1662653375950,204,"Global Market Barometer/api/v2/securities/0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE,240.20.XBTUSDCOMP,240.20.XEHUSDCOMP,240.20.XRPUSDCOMP,240.20.XBHUSDCOMP,240.20.XLMUSDCOMP,240.20.XEOUSDCOMP,240.20.XLTUSDCOMP,240.20.GBPUSDCOMP,240.20.EURUSDCOMP,240.20.USDJPYCOMP,240.20.USDCADCOMP,240.20.USDCHFCOMP,240.20.AUDUSDCOMP,240.20.USDHKDCOMP,240.20.CNYUSDCOMP,240.20.NZDUSDCOMP,240.20.USDBRLCOMP,240.20.USDCLPCOMP,240.20.USDCOPCOMP,240.20.USDCUPCOMP,240.20.USDCZKCOMP,240.20.USDINRCOMP,240.20.USDIDRCOMP,240.20.USDIRRCOMP,240.20.USDIQDCOMP,240.20.USDLBPCOMP,240.20.USDMXNCOMP,240.20.USDSGDCOMP,240.20.USDPHPCOMP,0P00001GJH/realtime-228",200,OK,MAIN PAGES 1-1,text,true,,2556,1880,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE,240.20.XBTUSDCOMP,240.20.XEHUSDCOMP,240.20.XRPUSDCOMP,240.20.XBHUSDCOMP,240.20.XLMUSDCOMP,240.20.XEOUSDCOMP,240.20.XLTUSDCOMP,240.20.GBPUSDCOMP,240.20.EURUSDCOMP,240.20.USDJPYCOMP,240.20.USDCADCOMP,240.20.USDCHFCOMP,240.20.AUDUSDCOMP,240.20.USDHKDCOMP,240.20.CNYUSDCOMP,240.20.NZDUSDCOMP,240.20.USDBRLCOMP,240.20.USDCLPCOMP,240.20.USDCOPCOMP,240.20.USDCUPCOMP,240.20.USDCZKCOMP,240.20.USDINRCOMP,240.20.USDIDRCOMP,240.20.USDIRRCOMP,240.20.USDIQDCOMP,240.20.USDLBPCOMP,240.20.USDMXNCOMP,240.20.USDSGDCOMP,240.20.USDPHPCOMP,0P00001GJH/realtime?dataPoints=lastPrice,netChange,percentNetChange,volume,tradingStatus,listedCurrency,openPrice,previousClosePrice,bidPrice",203,0,0
1662653376154,115,"Global Market Barometer/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-232",200,OK,MAIN PAGES 1-1,text,true,,1334,1412,1,1,"https://research-preview.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",115,0,0
1662653376270,114,Global Market Barometer/api/v2/securities/movers-231,200,OK,MAIN PAGES 1-1,text,true,,2072,1187,1,1,"https://research-preview.morningstar.com/api/v2/securities/movers?dataPoints=name,performanceID,volume,lastPrice,netChange,percentNetChange",114,0,0
1662653376385,201,Global Market Barometer/api/v2/securities/by-id-233,200,OK,MAIN PAGES 1-1,text,true,,1353,1256,1,1,https://research-preview.morningstar.com/api/v2/securities/by-id?ids=0P00011H0G%2C0P00000412%2C0P0000051X%2C0P0000006A%2C0P0001MMYT%2C0P0000029A%2C0P000000GY%2C0P000003XI%2C0P0001EEPZ%2C0P000003RE&fields=name,200,0,0
1662653376586,123,Market Fair Value Graph/api/v2/securities/0P00001GJH/historical-timeseries-239,200,OK,MAIN PAGES 1-1,text,true,,4025,1208,1,1,https://research-preview.morningstar.com/api/v2/securities/0P00001GJH/historical-timeseries?days=365&resolution=days&dataPoints=priceFairValueRatioForPortfolios,123,0,0
1662653376709,165,Market Fair Value Graph/api/v1/dashboard-238,200,OK,MAIN PAGES 1-1,text,true,,1277,2291,1,1,https://research-preview.morningstar.com/api/v1/dashboard,165,0,0
1662653376874,125,"Market Fair Value Graph/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-240",200,OK,MAIN PAGES 1-1,text,true,,1334,1412,1,1,"https://research-preview.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",120,0,0
1662653376999,122,"Market Indexes/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-241",200,OK,MAIN PAGES 1-1,text,true,,1334,1412,1,1,"https://research-preview.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",122,0,0
1662653377122,120,"Market Indexes/api/v2/securities/0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE,240.20.XBTUSDCOMP,240.20.XEHUSDCOMP,240.20.XRPUSDCOMP,240.20.XBHUSDCOMP,240.20.XLMUSDCOMP,240.20.XEOUSDCOMP,240.20.XLTUSDCOMP,240.20.GBPUSDCOMP,240.20.EURUSDCOMP,240.20.USDJPYCOMP,240.20.USDCADCOMP,240.20.USDCHFCOMP,240.20.AUDUSDCOMP,240.20.USDHKDCOMP,240.20.CNYUSDCOMP,240.20.NZDUSDCOMP,240.20.USDBRLCOMP,240.20.USDCLPCOMP,240.20.USDCOPCOMP,240.20.USDCUPCOMP,240.20.USDCZKCOMP,240.20.USDINRCOMP,240.20.USDIDRCOMP,240.20.USDIRRCOMP,240.20.USDIQDCOMP,240.20.USDLBPCOMP,240.20.USDMXNCOMP,240.20.USDSGDCOMP,240.20.USDPHPCOMP,0P00001GJH/realtime-242",200,OK,MAIN PAGES 1-1,text,true,,2563,1880,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE,240.20.XBTUSDCOMP,240.20.XEHUSDCOMP,240.20.XRPUSDCOMP,240.20.XBHUSDCOMP,240.20.XLMUSDCOMP,240.20.XEOUSDCOMP,240.20.XLTUSDCOMP,240.20.GBPUSDCOMP,240.20.EURUSDCOMP,240.20.USDJPYCOMP,240.20.USDCADCOMP,240.20.USDCHFCOMP,240.20.AUDUSDCOMP,240.20.USDHKDCOMP,240.20.CNYUSDCOMP,240.20.NZDUSDCOMP,240.20.USDBRLCOMP,240.20.USDCLPCOMP,240.20.USDCOPCOMP,240.20.USDCUPCOMP,240.20.USDCZKCOMP,240.20.USDINRCOMP,240.20.USDIDRCOMP,240.20.USDIRRCOMP,240.20.USDIQDCOMP,240.20.USDLBPCOMP,240.20.USDMXNCOMP,240.20.USDSGDCOMP,240.20.USDPHPCOMP,0P00001GJH/realtime?dataPoints=lastPrice,netChange,percentNetChange,volume,tradingStatus,listedCurrency,openPrice,previousClosePrice,bidPrice",119,0,0
1662653377242,122,"Market Indexes/api/v2/securities/0P00012P92,0P00012P99,0P00012P9F,0P00012P9L,0P00012P9R,0P00012P9X,0P00012PA3,0P00012PA9,0P00012PAF,0P00012PAL,0P00012PBT,0P00012PCU,0P00012PD0,0P00012PD5,0P00012PDC,0P00012PDI,0P00012PDN,0P00012PDT,0P00012PDZ,0P00012PE6,0P00012PEC,0P00012PEI,0P00012PEO,0P00012PEU,0P00012PF0,0P00012PF5,0P00012PFH,0P00012PFN,0P00012PFZ,0P00012PG5,0P00012PGB,0P00012PGH,0P00012PGN,0P00012PGT,0P00012PGZ,0P00012PH5,0P00012PHB,0P00012PHH,0P00012PHN,0P00012PHT/realtime-243",200,OK,MAIN PAGES 1-1,text,true,,2275,1677,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00012P92,0P00012P99,0P00012P9F,0P00012P9L,0P00012P9R,0P00012P9X,0P00012PA3,0P00012PA9,0P00012PAF,0P00012PAL,0P00012PBT,0P00012PCU,0P00012PD0,0P00012PD5,0P00012PDC,0P00012PDI,0P00012PDN,0P00012PDT,0P00012PDZ,0P00012PE6,0P00012PEC,0P00012PEI,0P00012PEO,0P00012PEU,0P00012PF0,0P00012PF5,0P00012PFH,0P00012PFN,0P00012PFZ,0P00012PG5,0P00012PGB,0P00012PGH,0P00012PGN,0P00012PGT,0P00012PGZ,0P00012PH5,0P00012PHB,0P00012PHH,0P00012PHN,0P00012PHT/realtime?dataPoints=lastPrice,netChange,percentNetChange,volume,tradingStatus,listedCurrency,openPrice,previousClosePrice,bidPrice",121,0,0
1662653377364,122,"Market Indexes/api/v2/securities/0P00012PHZ,0P00012PI6,0P00012PIC/realtime-244",200,OK,MAIN PAGES 1-1,text,true,,880,1270,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00012PHZ,0P00012PI6,0P00012PIC/realtime?dataPoints=lastPrice,netChange,percentNetChange,volume,tradingStatus,listedCurrency,openPrice,previousClosePrice,bidPrice",122,0,0
